"year" "species" "gear" "disc.n" "disc.n.perc" "disc.wgt" "disc.wgt.perc" "CV"
"1" 2001 1 "Bottom trawl" 250 0.73 138 0.14 10
"2" 2002 1 "Bottom trawl" 303 0.99 179 0.21 8
"3" 2003 1 "Bottom trawl" 47 0.14 28 0.03 41
"4" 2004 1 "Bottom trawl" 575 1.82 466 0.5 8
"5" 2005 1 "Bottom trawl" 1135 4.45 1140 1.38 5
"6" 2006 1 "Bottom trawl" 1146 4.43 1075 1.34 6
"7" 2007 1 "Bottom trawl" 1433 6.83 1734 2.48 8
"8" 2008 1 "Bottom trawl" 353 2.16 254 0.45 9
"9" 2009 1 "Bottom trawl" 741 3.48 670 0.87 7
"10" 2010 1 "Bottom trawl" 148 0.84 103 0.14 20
"11" 2011 1 "Bottom trawl" 45 0.27 34 0.05 79
"12" 2012 1 "Bottom trawl" 652 3.08 583 0.71 10
"13" 2013 1 "Bottom trawl" 866 3.52 832 0.85 9
"14" 2014 1 "Bottom trawl" NA NA NA NA NA
"15" 2015 1 "Bottom trawl" 989 8.34 1354 2.43 7
"16" 2016 1 "Bottom trawl" NA NA NA NA NA
"17" 2017 1 "Bottom trawl" 3353 12.2 5274 3.89 10
"18" 2001 1 "Danish seine" 1056 24.71 1366 8.06 11
"19" 2002 1 "Danish seine" 706 18 938 7 9
"20" 2003 1 "Danish seine" 56 1.3 39 0.29 33
"21" 2004 1 "Danish seine" 365 7.1 470 3.3 34
"22" 2005 1 "Danish seine" 64 1.65 61 0.48 30
"23" 2006 1 "Danish seine" 112 4 158 1.5 70
"24" 2007 1 "Danish seine" 116 4.7 104 1.2 21
"25" 2008 1 "Danish seine" 195 7.3 137 1.6 10
"26" 2009 1 "Danish seine" 23 0.89 15 0.14 27
"27" 2010 1 "Danish seine" 197 10.7 267 3.2 19
"28" 2011 1 "Danish seine" NA NA NA NA NA
"29" 2012 1 "Danish seine" 37 2.34 34 0.34 54
"30" 2013 1 "Danish seine" NA NA NA NA NA
"31" 2014 1 "Danish seine" NA NA NA NA NA
"32" 2015 1 "Danish seine" NA NA NA NA NA
"33" 2016 1 "Danish seine" NA NA NA NA NA
"34" 2017 1 "Danish seine" NA NA NA NA NA
"35" 2001 1 "Longlines" 1304 7 854 1.81 10
"36" 2002 1 "Longlines" 190 1.26 97 0.23 14
"37" 2003 1 "Longlines" 25 0.16 13 0.03 70
"38" 2004 1 "Longlines" 389 1.72 199 0.35 9
"39" 2005 1 "Longlines" 256 1.02 152 0.22 12
"40" 2006 1 "Longlines" 395 1.48 194 0.27 8
